           y_out     y_out_norm         PT_out    density_out          u_out          v_out         ps_out          omega          angle
    -0.22332300      0.4670225       7751.818     0.07951069       62.92313     -125.23153       6938.958     0.01915789       -63.3226
    -0.21937300      0.4620788       7752.845     0.07951070       62.98121     -125.30064       6938.924     0.01791137       -63.3140
    -0.21542100      0.4571327       7753.822     0.07951071       63.03726     -125.36611       6938.890     0.01672495       -63.3056
    -0.21146700      0.4521840       7754.753     0.07951078       63.09139     -125.42809       6938.858     0.01559342       -63.2972
    -0.20751100      0.4472328       7755.623     0.07951093       63.14294     -125.48532       6938.828     0.01453724       -63.2889
    -0.20355400      0.4422804       7756.427     0.07951114       63.19167     -125.53743       6938.802     0.01356037       -63.2807
    -0.19959600      0.4373267       7757.174     0.07951137       63.23798     -125.58511       6938.779     0.01265289       -63.2726
    -0.19563600      0.4323705       7757.876     0.07951159       63.28238     -125.62928       6938.758     0.01180092       -63.2645
    -0.19167500      0.4274130       7758.547     0.07951180       63.32551     -125.67103       6938.740     0.01098572       -63.2565
    -0.18771300      0.4224543       7759.200     0.07951200       63.36777     -125.71116       6938.726     0.01019240       -63.2485
    -0.18374900      0.4174931       7759.831     0.07951223       63.40884     -125.74911       6938.719     0.00942681       -63.2405
    -0.17978500      0.4125319       7760.423     0.07951255       63.44788     -125.78353       6938.721     0.00870773       -63.2327
    -0.17582000      0.4075695       7760.966     0.07951298       63.48442     -125.81369       6938.734     0.00804722       -63.2249
    -0.17185400      0.4026058       7761.456     0.07951350       63.51825     -125.83940       6938.754     0.00745232       -63.2173
    -0.16788700      0.3976408       7761.901     0.07951406       63.54985     -125.86154       6938.780     0.00691204       -63.2099
    -0.16392000      0.3926758       7762.320     0.07951464       63.58012     -125.88168       6938.809     0.00640277       -63.2026
    -0.15995300      0.3877109       7762.738     0.07951523       63.61017     -125.90155       6938.840     0.00589580       -63.1954
    -0.15598500      0.3827447       7763.161     0.07951585       63.64024     -125.92149       6938.876     0.00538229       -63.1881
    -0.15201800      0.3777797       7763.582     0.07951649       63.67008     -125.94093       6938.916     0.00487040       -63.1809
    -0.14805000      0.3728135       7763.993     0.07951717       63.69932     -125.95917       6938.961     0.00437098       -63.1736
    -0.14408200      0.3678473       7764.382     0.07951788       63.72747     -125.97527       6939.013     0.00389951       -63.1664
    -0.14011500      0.3628824       7764.744     0.07951864       63.75443     -125.98903       6939.070     0.00345972       -63.1591
    -0.13614900      0.3579186       7765.095     0.07951945       63.78078     -126.00163       6939.131     0.00303274       -63.1519
    -0.13218200      0.3529537       7765.441     0.07952033       63.80667     -126.01336       6939.198     0.00261263       -63.1447
    -0.12821700      0.3479912       7765.783     0.07952133       63.83203     -126.02420       6939.272     0.00219800       -63.1375
